"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Wheeler, Zack","554430","2021","849","548",0.215,0.215,0,0.321,0.318,0.0030000000000000027,0.257,0.258,-0.0010000000000000009,"2.78","2.77","0.014"
"Alcantara, Sandy","645261","2021","837","576",0.223,0.232,-0.009000000000000008,0.365,0.369,-0.0040000000000000036,0.279,0.288,-0.008999999999999952,"3.19","3.47","-0.276"
"Wainwright, Adam","425794","2021","828","595",0.22,0.251,-0.031,0.352,0.388,-0.03600000000000003,0.273,0.302,-0.02899999999999997,"3.05","3.84","-0.787"
"Buehler, Walker","621111","2021","815","545",0.199,0.218,-0.01899999999999999,0.329,0.345,-0.01599999999999996,0.255,0.272,-0.017000000000000015,"2.47","3.08","-0.61"
"Castillo, Luis","622491","2021","803","529",0.255,0.232,0.022999999999999993,0.402,0.347,0.05500000000000005,0.318,0.294,0.02400000000000002,"3.98","3.63","0.35"
"Hendricks, Kyle","543294","2021","785","597",0.278,0.276,0.0020000000000000018,0.481,0.455,0.025999999999999968,0.345,0.339,0.00599999999999995,"4.77","4.95","-0.177"
"Berríos, José","621244","2021","781","517",0.223,0.241,-0.017999999999999988,0.38,0.407,-0.02699999999999997,0.286,0.311,-0.025000000000000022,"3.52","4.09","-0.574"
"Montas, Frankie","593423","2021","778","506",0.232,0.237,-0.004999999999999977,0.372,0.404,-0.03200000000000003,0.29,0.307,-0.017000000000000015,"3.37","3.98","-0.611"
"Gausman, Kevin","592332","2021","775","494",0.21,0.23,-0.020000000000000018,0.345,0.381,-0.03600000000000003,0.265,0.29,-0.024999999999999967,"2.81","3.52","-0.707"
"Ray, Robbie","592662","2021","773","469",0.21,0.219,-0.009000000000000008,0.401,0.398,0.0030000000000000027,0.287,0.293,-0.006000000000000005,"2.84","3.60","-0.76"
"Lyles, Jordan","543475","2021","769","560",0.278,0.275,0.0030000000000000027,0.499,0.482,0.017000000000000015,0.354,0.351,0.0030000000000000027,"5.15","5.37","-0.22"
"Irvin, Cole","608344","2021","768","591",0.275,0.281,-0.006000000000000005,0.424,0.445,-0.02100000000000002,0.323,0.338,-0.015000000000000013,"4.24","4.92","-0.681"
"Eovaldi, Nathan","543135","2021","764","527",0.253,0.238,0.015000000000000013,0.402,0.366,0.03600000000000003,0.298,0.283,0.015000000000000013,"3.75","3.35","0.401"
"Mahle, Tyler","641816","2021","759","475",0.234,0.229,0.0050000000000000044,0.396,0.363,0.03300000000000003,0.308,0.298,0.010000000000000009,"3.75","3.73","0.02"
"Morton, Charlie","450203","2021","756","465",0.203,0.217,-0.013999999999999985,0.309,0.332,-0.02300000000000002,0.264,0.282,-0.01799999999999996,"3.35","3.32","0.025"
"Márquez, Germán","608566","2021","756","511",0.242,0.25,-0.008000000000000007,0.389,0.39,-0.0010000000000000009,0.303,0.31,-0.007000000000000006,"4.40","4.06","0.34"
"Manaea, Sean","640455","2021","754","510",0.255,0.249,0.006000000000000005,0.415,0.419,-0.0040000000000000036,0.31,0.312,-0.0020000000000000018,"3.91","4.12","-0.206"
"Gibson, Kyle","502043","2021","754","527",0.234,0.241,-0.0069999999999999785,0.363,0.367,-0.0040000000000000036,0.293,0.302,-0.009000000000000008,"3.71","3.84","-0.131"
"Corbin, Patrick","571578","2021","751","544",0.286,0.282,0.0040000000000000036,0.51,0.493,0.017000000000000015,0.362,0.358,0.0040000000000000036,"5.82","5.62","0.199"
"Nola, Aaron","605400","2021","749","478",0.237,0.223,0.013999999999999985,0.405,0.378,0.027000000000000024,0.297,0.283,0.014000000000000012,"4.63","3.35","1.283"
"Musgrove, Joe","605397","2021","748","473",0.213,0.236,-0.022999999999999993,0.364,0.387,-0.02300000000000002,0.284,0.304,-0.020000000000000018,"3.18","3.89","-0.714"
"Urías, Julio","628711","2021","745","505",0.219,0.219,0,0.349,0.36,-0.01100000000000001,0.266,0.273,-0.007000000000000006,"2.96","3.10","-0.143"
"Flexen, Chris","623167","2021","741","572",0.268,0.261,0.007000000000000006,0.414,0.427,-0.013000000000000012,0.311,0.317,-0.006000000000000005,"3.61","4.27","-0.663"
"Stroman, Marcus","573186","2021","729","521",0.242,0.262,-0.020000000000000018,0.362,0.418,-0.055999999999999994,0.284,0.318,-0.03400000000000003,"3.02","4.30","-1.283"
"Cole, Gerrit","543037","2021","726","440",0.223,0.209,0.014000000000000012,0.372,0.369,0.0030000000000000027,0.276,0.273,0.0030000000000000027,"3.23","3.10","0.126"
"Keuchel, Dallas","572971","2021","720","558",0.29,0.302,-0.01200000000000001,0.472,0.493,-0.02100000000000002,0.356,0.372,-0.016000000000000014,"5.28","6.15","-0.872"
"Giolito, Lucas","608337","2021","719","465",0.219,0.221,-0.0020000000000000018,0.394,0.362,0.03200000000000003,0.288,0.28,0.007999999999999952,"3.53","3.27","0.256"
"Cease, Dylan","656302","2021","708","405",0.223,0.21,0.013000000000000012,0.364,0.364,0,0.295,0.295,0,"3.91","3.65","0.261"
"Woodruff, Brandon","605540","2021","708","447",0.2,0.226,-0.025999999999999995,0.317,0.353,-0.035999999999999976,0.252,0.28,-0.028000000000000025,"2.56","3.27","-0.711"
"Anderson, Tyler","542881","2021","703","530",0.262,0.259,0.0030000000000000027,0.452,0.425,0.027000000000000024,0.319,0.315,0.0040000000000000036,"4.53","4.21","0.317"
"Ryu, Hyun Jin","547943","2021","701","519",0.258,0.265,-0.007000000000000006,0.435,0.44,-0.0050000000000000044,0.313,0.323,-0.010000000000000009,"4.37","4.45","-0.083"
"Greinke, Zack","425844","2021","697","539",0.252,0.266,-0.014000000000000012,0.434,0.43,0.0040000000000000036,0.309,0.32,-0.01100000000000001,"4.16","4.35","-0.192"
"Scherzer, Max","453286","2021","693","411",0.185,0.196,-0.01100000000000001,0.331,0.352,-0.020999999999999963,0.248,0.263,-0.015000000000000013,"2.46","2.88","-0.421"
"Miley, Wade","489119","2021","690","512",0.265,0.252,0.013000000000000012,0.408,0.398,0.009999999999999953,0.317,0.311,0.006000000000000005,"3.37","4.09","-0.722"
"McCullers Jr., Lance","621121","2021","684","413",0.205,0.208,-0.0030000000000000027,0.324,0.315,0.009000000000000008,0.283,0.284,-0.0010000000000000009,"3.16","3.37","-0.21"
"Darvish, Yu","506433","2021","681","430",0.222,0.208,0.014000000000000012,0.429,0.376,0.05299999999999999,0.301,0.282,0.019000000000000017,"4.22","3.32","0.9"
"DeSclafani, Anthony","543101","2021","676","480",0.225,0.241,-0.015999999999999986,0.358,0.41,-0.05199999999999999,0.276,0.304,-0.02799999999999997,"3.17","3.89","-0.723"
"Rodriguez, Eduardo","593958","2021","675","441",0.277,0.233,0.04400000000000001,0.437,0.366,0.07100000000000001,0.33,0.288,0.04200000000000004,"4.74","3.47","1.268"
"Happ, J.A.","457918","2021","671","498",0.288,0.275,0.012999999999999956,0.511,0.502,0.009000000000000008,0.361,0.356,0.0050000000000000044,"5.79","5.54","0.25"
"Senzatela, Antonio","622608","2021","670","524",0.287,0.273,0.013999999999999957,0.421,0.414,0.007000000000000006,0.323,0.319,0.0040000000000000036,"4.42","4.32","0.103"
"Minor, Mike","501985","2021","669","474",0.252,0.245,0.007000000000000006,0.447,0.449,-0.0020000000000000018,0.321,0.32,0.0010000000000000009,"5.05","4.35","0.698"
"Davies, Zach","605200","2021","668","473",0.281,0.294,-0.012999999999999956,0.485,0.487,-0.0020000000000000018,0.366,0.376,-0.010000000000000009,"5.78","6.31","-0.533"
"Fried, Max","608331","2021","667","461",0.227,0.234,-0.007000000000000006,0.353,0.364,-0.01100000000000001,0.278,0.288,-0.009999999999999953,"3.04","3.47","-0.428"
"Kelly, Merrill","518876","2021","667","492",0.266,0.271,-0.0050000000000000044,0.433,0.432,0.0010000000000000009,0.319,0.324,-0.0050000000000000044,"4.44","4.48","-0.037"
"Kikuchi, Yusei","579328","2021","666","436",0.243,0.261,-0.018000000000000016,0.432,0.463,-0.031000000000000028,0.325,0.346,-0.020999999999999963,"4.41","5.19","-0.776"
"Pivetta, Nick","601713","2021","661","416",0.234,0.22,0.014000000000000012,0.417,0.385,0.03199999999999997,0.316,0.301,0.015000000000000013,"4.53","3.81","0.719"
"Hill, Rich","448179","2021","661","440",0.235,0.24,-0.0050000000000000044,0.402,0.414,-0.011999999999999955,0.313,0.323,-0.010000000000000009,"3.86","4.45","-0.593"
"Montgomery, Jordan","656756","2021","661","446",0.25,0.248,0.0020000000000000018,0.38,0.404,-0.02400000000000002,0.299,0.31,-0.01100000000000001,"3.83","4.06","-0.227"
"Burnes, Corbin","669203","2021","657","383",0.201,0.18,0.02100000000000002,0.273,0.256,0.017000000000000015,0.232,0.219,0.013000000000000012,"2.42","2.00","0.425"
"Walker, Taijuan","592836","2021","654","449",0.225,0.246,-0.02099999999999999,0.4,0.442,-0.04199999999999998,0.301,0.328,-0.027000000000000024,"4.47","4.60","-0.128"
"Yarbrough, Ryan","642232","2021","653","500",0.267,0.272,-0.0050000000000000044,0.457,0.436,0.02100000000000002,0.325,0.323,0.0020000000000000018,"5.11","4.45","0.66"
"Matz, Steven","571927","2021","647","454",0.265,0.253,0.01200000000000001,0.405,0.396,0.009000000000000008,0.315,0.31,0.0050000000000000044,"3.82","4.06","-0.237"
"Gray, Jon","592351","2021","644","421",0.245,0.235,0.010000000000000009,0.42,0.378,0.04199999999999998,0.32,0.305,0.015000000000000013,"4.59","3.92","0.671"
"Lynn, Lance","458681","2021","641","416",0.209,0.198,0.010999999999999982,0.338,0.322,0.016000000000000014,0.264,0.256,0.008000000000000007,"2.69","2.72","-0.026"
"Bassitt, Chris","605135","2021","637","428",0.218,0.227,-0.009000000000000008,0.348,0.362,-0.014000000000000012,0.274,0.286,-0.011999999999999955,"3.15","3.42","-0.274"
"Skubal, Tarik","669373","2021","634","417",0.245,0.267,-0.02200000000000002,0.476,0.508,-0.03200000000000003,0.332,0.357,-0.024999999999999967,"4.34","5.58","-1.241"
"Garcia, Luis","677651","2021","633","413",0.232,0.236,-0.003999999999999976,0.393,0.394,-0.0010000000000000009,0.297,0.304,-0.007000000000000006,"3.48","3.89","-0.414"
"Lester, Jon","452657","2021","627","478",0.285,0.273,0.011999999999999955,0.478,0.453,0.024999999999999967,0.352,0.343,0.008999999999999952,"4.71","5.09","-0.378"
"Richards, Garrett","572070","2021","617","437",0.289,0.285,0.0040000000000000036,0.468,0.465,0.0030000000000000027,0.356,0.357,-0.0010000000000000009,"4.87","5.58","-0.707"
"Quantrill, Cal","615698","2021","616","439",0.234,0.244,-0.009999999999999981,0.373,0.387,-0.014000000000000012,0.296,0.308,-0.01200000000000001,"2.89","4.01","-1.124"
"Keller, Brad","641745","2021","613","422",0.297,0.292,0.0050000000000000044,0.457,0.505,-0.04799999999999999,0.358,0.38,-0.02200000000000002,"5.39","6.47","-1.083"
"Bumgarner, Madison","518516","2021","613","439",0.242,0.245,-0.0030000000000000027,0.439,0.432,0.007000000000000006,0.315,0.319,-0.0040000000000000036,"4.67","4.32","0.354"
"Mize, Casey","663554","2021","612","442",0.234,0.254,-0.01999999999999999,0.418,0.462,-0.04400000000000004,0.308,0.338,-0.030000000000000027,"3.71","4.92","-1.208"
"Taillon, Jameson","592791","2021","603","413",0.238,0.23,0.00799999999999998,0.422,0.401,0.020999999999999963,0.309,0.304,0.0050000000000000044,"4.30","3.89","0.413"
"Houser, Adrian","605288","2021","599","420",0.228,0.24,-0.011999999999999983,0.34,0.359,-0.01899999999999996,0.297,0.312,-0.015000000000000013,"3.23","4.12","-0.895"
"Plesac, Zach","668676","2021","598","456",0.248,0.255,-0.007000000000000006,0.437,0.455,-0.018000000000000016,0.314,0.325,-0.01100000000000001,"4.67","4.51","0.158"
"Webb, Logan","657277","2021","596","394",0.234,0.229,0.0050000000000000044,0.332,0.329,0.0030000000000000027,0.274,0.276,-0.0020000000000000018,"3.03","3.18","-0.146"
"Means, John","607644","2021","590","426",0.224,0.242,-0.017999999999999988,0.427,0.441,-0.014000000000000012,0.294,0.309,-0.015000000000000013,"3.62","4.03","-0.41"
"Fedde, Erick","607200","2021","590","409",0.275,0.263,0.01200000000000001,0.466,0.457,0.009000000000000008,0.34,0.337,0.0030000000000000027,"5.47","4.89","0.578"
"Singer, Brady","663903","2021","586","391",0.281,0.257,0.02400000000000002,0.414,0.398,0.01599999999999996,0.338,0.326,0.01200000000000001,"4.91","4.54","0.369"
